TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PT,RU,TH,TR,VI
TID_MEDAL_EVENT_INFO_SCREEN_1,Attack multiplayer bases to collect Sour Elixir,هاجم القواعد المتعددة اللاعبين لجمع الإكسير الحمضي,发起联机模式战斗，收集酸腐圣水,展開多人遊戲戰鬥，收集酸腐聖水,"Greife Mehrspieler-Basen an, um Saures Elixier zu sammeln.",Ataca las bases en el modo multijugador para conseguir elixir ácido.,به چند پایگاه چندبازیکنه حمله کنید تا اکسیر ترش جمع‌آوری کنید,Hyökkää muiden pelaajien kyliin kerätäksesi hapanta eliksiiriä.,Attaquez des bases en multijoueur pour récupérer de l'élixir sinistre,Serang Desa multipemain untuk meraih Eliksir Edan,Attacca le basi multigiocatore per accumulare elisir acido.,マルチプレイで禁断のエリクサーを回収,멀티플레이 전투에서 공격하여 오싹한 엘릭서를 모으세요.,Serang pangkalan berbilang pemain untuk kumpul Eliksir Masam,Val multiplayerbasissen aan om zuur elixir te verzamelen.,Angrip flerspillerbaser for å samle sur eliksir,Ataque bases de outros jogadores e colete elixir ácido!,Нападайте на базы других игроков и отбирайте у них кислый эликсир.,โจมตีฐานแบบผู้เล่นหลายคนเพื่อเก็บรวบรวมน้ำอมฤตหมัก,Diğer oyuncuların köylerine saldırarak Ekşi İksir kazanırsın.,Tấn công các căn cứ nhiều người chơi để thu thập Tiên dược chua.
TID_MEDAL_EVENT_INFO_SCREEN_2,"Claim rewards including Troops, Medals, and Ore",طالب بمكافآت بما فيها قوات وأوسمة ومعادن خام,领取包括兵种、奖章和矿石在内的多种奖励。,領取兵種、活動幣和礦石等獎勵,"Hol dir Belohnungen wie Truppen, Medaillen und Erze.","Obtén recompensas, como tropas, medallas y minerales.",جوایز، شامل نیروها، مدال‌ها و سنگ معدن را مطالبه کنید,"Lunasta palkintoja, kuten joukkoja, mitaleita ja malmeja.","Récupérez des récompenses : troupes, médailles et minerais","Klaim hadiah yang mencakup Peleton, Medali, dan Mineral!","Ottieni ricompense, tra cui truppe, medaglie e minerali.",ユニット、メダル、鉱石などの報酬を回収,"유닛, 메달, 광석 등의 보상을 받으세요.","Kumpul ganjaran termasuk askar, pingat dan bijih","Claim beloningen zoals troepen, medailles en ertsen.","Hent belønninger som tropper, medaljer og malm","Consiga recompensas como tropas, medalhas e minério!","Получайте награды, включая воинов, медали и руду.",รับรางวัลที่มีทั้งกองกำลัง เหรียญ และแร่,"Birlik, madalya ve cevher gibi ödüller seni bekliyor!","Nhận phần thưởng bao gồm Binh lính, Huy chương và Quặng."
TID_MEDAL_EVENT_INFO_SCREEN_3,Use the unlocked temporary Troops in attacks for more fun!,استخدم القوات المؤقتة المفتوحة في الهجمات لمزيد من المرح.,在战斗中使用已解锁的限时兵种，体验更多乐趣！,在戰鬥中使用已解鎖的限時兵種，體驗更多樂趣！,"Nutze bei Angriffen die freigeschalteten temporären Einheiten, um noch mehr Spaß zu haben!",¡Usa las tropas temporales en ataques y diviértete!,برای سرگرمی بیشتر، از نیروهای موقت بازشده در حملات استفاده کنید!,Tee hyökkäyksistäsi hauskempia käyttämällä avaamiasi väliaikaisia joukkoja!,Utilisez les troupes temporaires au combat pour encore plus de fun !,Gunakan Peleton sementara yang berhasil kamu buka agar serangan jadi lebih seru!,Usa le truppe temporanee sbloccate per divertirti di più!,アンロックした期間限定ユニットを使ってイベントを満喫！,잠금 해제된 기간 한정 유닛을 공격에 사용해 더욱 재밌는 게임 플레이를 즐겨보세요!,Gunakan askar sementara yang dibuka dalam serangan untuk lebih keseronokan!,Gebruik de ontgrendelde tijdelijke troepen in aanvallen voor meer plezier!,"Bruk de opplåste midlertidige troppene i angrep, så blir det enda morsommere!",Use tropas temporárias nos ataques para deixar tudo ainda mais animado!,Используйте в атаках временных воинов.,ใช้กองกำลังชั่วคราวที่ปลดล็อคในการโจมตีเพื่อเพิ่มความสนุก!,Açtığın geçici birlikleri kullandığında savaşlar daha eğlenceli!,"Khi tấn công, hãy sử dụng Binh lính tạm thời đã mở khóa để có trải nghiệm thú vị hơn!"
TID_MEDAL_EVENT_INFO_SCREEN_4,Use collected Mashup Medals for even more rewards at the Trader!,استخدم أوسمة المزيج المجمعة لنيل المزيد من المكافآت لدى التاجر!,使用收集到的合体奖章在商人那里兑换更多奖励！,使用收集到的縫合幣在商人那裡兌換更多獎勵！,Hol dir mit deinen gesammelten Mixmedaillen noch mehr Belohnungen beim Händler!,¡Usa las medallas de multitropas que hayas conseguido para obtener más recompensas con el mercader!,از مدال‌های درهم‌آمیزی جمع‌آوری‌شده استفاده کنید تا جوایز هرچه‌بیشتری نزد بازرگان مطالبه کنید!,Hanki kauppiaalta lisäpalkintoja keräämilläsi karmivilla mitaleilla!,Utilisez vos médailles sinistres pour obtenir encore plus de récompenses chez le négociant !,Gunakan Medali Edan yang terkumpul untuk membeli lebih banyak hadiah lagi di Pedagang!,Spendi le medaglie del Collage dal mercante per ottenere ancora più premi!,集めた禁断のメダルを旅商人の店で豪華報酬と交換！,모은 매시업 메달을 거래상과 거래해 더 많은 보상을 받으세요!,Gunakan Pingat Gabungan yang dikumpul untuk menukar lebih ganjaran dengan pedagang!,Gebruik je verzamelde chaotische gekte-medailles bij de handelaar voor nog meer beloningen!,Med mashup-medaljene dine kan du få enda flere belønninger hos kremmeren!,Use as medalhas medonhas para conseguir ainda mais prêmios no Comerciante!,"Используйте собранные жуткие медали, чтобы получить еще больше наград у торговца!",ใช้เหรียญรวมร่างที่สะสมไว้เพื่อรับรางวัลที่มากยิ่งขึ้นกับพ่อค้า!,Topladığın Deney Madalyalarıyla Tüccardan daha da fazla ödül alabilirsin!,Trao đổi các Huy chương kết hợp đã thu thập được với Thương gia để kiếm thêm nhiều phần thưởng hơn nữa!
TID_MEDAL_EVENT_INFO_SCREEN_TITLE,Mashup Mania!,جنون المزيج,合体狂热！,縫合狂熱！,Mischmaschmanie!,¡Multitropas frenéticas!,دیوانگی درهم‌آمیزی!,Sekoitushulina!,Furieuses fusions !,Fusi Ngeri!,Collage da brividi,禁断の厄災！,매시업 대소동!,Mania Gabungan!,Chaotische gekte!,Mashup-mani!,Maluquice Medonha,Жуткий беспредел!,รวมร่างบ้าระห่ำ!,Deney Çılgınlığı!,Cơn sốt kết hợp!
TID_EVENT_HUB_ACCESS_INFO,Hydra Headstone,رأس الهيدرا,蛇头怪墓碑,蛇頭怪墓碑,Hydragrabstein,Busto de hidra,سنگ قبر هیدرا,Hydra-patsas,Tête d'hydre sculptée,Kepala Hydra,Testa di Idra,ヒドラヘッド,히드라 묘비,Kepala Hidra,Hydragrafsteen,Hydra-gravstein,Cabeça de hidra,Голова гидры,รูปปั้นหินหัวไฮดรา,Hidra Kafası,Tượng đầu quái thú
TID_EVENT_HUB_ACCESS,Hydra Headstone,رأس الهيدرا,蛇头怪墓碑,蛇頭怪墓碑,Hydragrabstein,Busto de hidra,سنگ قبر هیدرا,Hydra-patsas,Tête d'hydre sculptée,Kepala Hydra,Testa di Idra,ヒドラヘッド,히드라 묘비,Kepala Hidra,Hydragrafsteen,Hydra-gravstein,Cabeça de hidra,Голова гидры,รูปปั้นหินหัวไฮดรา,Hidra Kafası,Tượng đầu quái thú
TID_TUTORIAL_MEDAL_EVENT_INTRO1,"Oy, Chief! Guess what?",مرحبًا أيها الزعيم! خمن ما حدث؟,喂，首领！您猜怎么着？,喂，首領！你猜怎麼了？,"Hey Häuptling, weißt du was?",¡Oye! ¿Sabes qué?,اوه رئیس! حدس می‌زنید چه اتفاقی افتاده؟,Hei päällikkö! Arvaas mitä?,"Chef, devinez quoi !","Oy, Chief! Coba tebak?",Ehilà! Indovina cos'è successo?,やあ、チーフ！実はさ...,"안녕하세요, 대장님! 말씀드릴 게 있어요!","Hei, Ketua! Tahu tak?",Hé Chief! Raad eens?,"Hei, høvding! Hør på dette!","Ei, chefe! Adivinha só!","Здорово, вождь! Ты не поверишь...",เฮ้ย ท่านหัวหน้า ท่านรู้อะไรป่ะ?,"Hey, şef! Bil bakalım ne oldu?","Này, Chỉ huy! Biết gì không?"
TID_TUTORIAL_MEDAL_EVENT_INTRO2,I found a big ole' creepy statue in the woods. Perfect for our spooky celebrations!,وجدت تمثالًا كبيرًا ومخيفًا في الغابة. مثالي لاحتفالاتنا المخيفة!,我在树林里找到了一座巨大且诡异的古老雕像，超级适合我们的恐怖庆典！,我在樹林裡找到了一個巨大且詭異的古老雕像，超級適合我們的恐怖慶典！,"Ich habe eine große, schaurige Statue im Wald gefunden. Perfekt für unsere finsteren Feierlichkeiten!",He encontrado una estatua enorme y bastante siniestra en el bosque. ¡Perfecta para esta época tan terrorífica!,من یک مجسمه ترسناک قدیمی بزرگ را در جنگل پیدا کردم. برای جشن‌های شبح‌وار ما فوق‌العاده مناسب است!,Löysin metsästä aika karmaisevan patsaan. Olis täydellinen kummitusjuhliin!,J'ai trouvé une grosse statue bien flippante dans la forêt. C'est parfait pour Clash-O-Ween !,Aku menemukan patung besar yang mengerikan di hutan. Ini bisa jadi hiasan sempurna untuk perayaan seram di Desa kita!,Ho trovato una statua davvero inquietante nella foresta che è perfetta per le decorazioni di Clash-O-Ween!,森の中で、大きくて不気味な像を見つけたんだ。クラッシュウィンにピッタリだと思わない？,숲에서 엄청나게 소름 끼치는 거대한 조각상을 발견했어요. 오싹한 축제에 딱 어울릴 거예요!,Saya menjumpai patung besar yang menakutkan di dalam hutan. Sesuai sekali untuk perayaan seram ini!,Ik heb een groot griezelig standbeeld gevonden in het bos. Perfect voor onze spookachtige festiviteiten!,"Jeg fant en stor, nifs statue i skogen. Den er perfekt for den nifse feiringen vår!",Achei uma estátua sinistra na floresta. Ela é perfeita para a nossa festa!,Я нашел в лесу огромную жуткую статую. Самое то для страшного праздника.,ข้าเจอรูปปั้นสุดสยองขนาดใหญ่ยักษ์ในป่า เหมาะสำหรับงานเลี้ยงหวีดสยองของเราเลยล่ะ,Ormanda tüyler ürpertici dev bir heykel buldum. Kutlamalarımız için birebir!,Tôi đã tìm thấy một bức tượng khổng lồ đáng sợ trong rừng. Thật hoàn hảo cho mùa lễ ma quái này!
TID_TUTORIAL_MEDAL_EVENT_INTRO3,"But if you ask me, I think this thing might actually be... ekk! Haunted!",لكن إذا سألتني، أعتقد أن هذا الشيء قد يكون في الواقع... آه! مسكونًا!,但如果您问我，我觉得这东西可能……呃，挺邪乎！,但如果你問我，我覺得這東西可能……呃，有點邪門！,"Aber wenn du mich fragst, ist dieses Ding tatsächlich ... verhext!","Pero no sé, la verdad, creo que es posible que esa cosa esté... ¡Encantada!",اما اگر از من بپرسید، فکر می‌کنم این چیز در واقع شاید... وای! شبح‌زده باشد!,"No, totta puhuen se saattaa kyllä olla... voi jumpe... kirottu!","Mais si vous voulez mon avis, je crois qu'elle pourrait bien être... hantée !","Tapi, setelah kupikir-pikir lagi ... jangan-jangan patung ini keramat!",Ma qualcosa mi dice che è... infestata!,でも、これってもしかして... ひいっ！呪われてる！,"그런데 말이죠, 사실 이게... 으! 아무래도 귀신같은 게 들린 것 같아요!",Tetapi saya rasa... benda ni mungkin disumpah!,"Maar als je het mij vraagt, denk ik dat dit ding eigenlijk... bezeten is!","Men spør du meg, tror jeg saken faktisk kan være ... usj ... hjemsøkt!",Sabe de uma coisa? Acho que esse troço é... mal-assombrado!,"Только вот... Мне кажется, она проклята.",แต่ถ้าท่านถามข้า ข้าว่ามันอาจจะ... บรึ๋ยส์! มีผีสิง!,Bana sorarsan bu... Lanetli olabilir!,Nhưng theo tôi thấy thì... có vẻ như là nó bị... à... quỷ ám vậy!
TID_TUTORIAL_MEDAL_EVENT_INTRO4,"Why? Well, when I touched it, it gave me this gloomy new look.",لماذا؟ حسنًا، عندما لمسته، منحني هذا المظهر الجديد القاتم.,为什么这么说呢？我碰到它的时候，它就把我变成了现在这个阴森的样子。,為什麼這麼說呢？我碰到它的時候，它就把我變成了現在這個陰森的樣子。,"Warum? Nun, als ich es berührte, bekam ich diesen düsteren neuen Look.",¿Que por qué? Pues porque cuando la toqué me dio este nuevo aspecto tenebroso...,چرا؟ خب، وقتی لمسش کردم، این ظاهر جدید تاریک را به من داد.,"Ai mistä tiedän? Koskin sitä, niin aloin näyttää aika karulta.","Pourquoi ? Ben, quand je l'ai touchée, elle m'a lancé un regard qui foutait la chair de poule !","Kenapa? Karena saat patung ini kusentuh, auraku jadi lebih suram.","Perché, mi chiedi? Beh, quando l'ho toccata, mi ha lanciato uno sguardo davvero spaventoso!",これは...？像に触ったら、不気味な姿に変身しちゃった。,왜냐고요? 제가 조각상을 만지자마자 아주 음울한 모습으로 바뀌었거든요.,"Kenapa? Hmm, sebab bila saya sentuh benda ni, rupa dia ni buat bulu saya meremang.","Waarom? Nou, toen ik het aanraakte, gaf het me een sombere blik.","Hvorfor? Jo, for da jeg tok på den, fikk jeg et dunkelt nytt utseende.","Por quê? Bem, depois que toquei na estátua, fiquei com esse visual esquisito.","Почему? Да потому, что я стал выглядеть иначе, когда коснулся ее.",ทำไมนะหรอ? เพราะพอข้าจับรูปปั้น อยู่ดีๆ ข้าก็รู้สึกขนหัวลุก,Niye mi? Ona dokununca böyle iç karartıcı bir görünüm kazandım.,Tại sao ư? Sau khi chạm vào nó thì diện mạo của tôi trở nên u ám như thế này đây.
TID_TUTORIAL_MEDAL_EVENT_INTRO5,AND it unleashed Sour Elixir and spooky Troops everywhere!,وأطلق الإكسير الحمضي والقوات المخيفة في كل مكان.,而且它还搞得到处都是酸腐圣水和可怕的兵种！,而且它還搞得到處都是酸腐聖水和可怕的兵種！,UND es hat überall Saures Elixier und Gruseltruppen freigesetzt!,¡Y desató tropas espeluznantes y elixir ácido por todas partes!,و اکسیر ترش و نیروهای شبح‌وار را همه جا رها کرد!,Lisäksi se levitti hapanta eliksiiriä ja pelottavia joukkoja joka paikkaan!,ET elle a craché de l'élixir sinistre et libéré des troupes effrayantes de partout !,"TIDAK HANYA ITU, dia juga mengeluarkan Eliksir Edan dan Peleton seram di mana-mana!",E poi ha generato elisir acido e truppe da brividi a destra e a manca!,しかも、禁断のエリクサーと恐ろしいユニットをまき散らしてるよ！,게다가 오싹한 엘릭서와 으스스한 유닛들이 여기저기서 나타나지 뭐예요!,DAN patung ni mewujudkan Eliksir Masam dan askar seram di merata-rata!,EN het heeft overal zuur elixir en spookachtige troepen verspreid!,OG den slapp ut sur eliksir og nifse tropper overalt!,"Além disso, a estátua gerou elixir ácido e um montão de tropas sinistras!",А еще теперь повсюду кислый эликсир и жуткие воины!,แล้วรูปปั้นก็ปลดปล่อยน้ำอมฤตหมักและกองกำลังสุดสยองออกมาทั่วไปหมด!,BİR DE her yere ekşi iksir ve korkutucu birlikler saçıldı!,VÀ nó còn tuôn ra hàng đống Tiên dược chua cùng Binh lính hắc ám ở khắp nơi nữa!
TID_TUTORIAL_MEDAL_EVENT_INTRO6,GWAHAHAH!,غواهاهاه!,嗷~嗷~,哇哈哈哈！,MUAHAHAH!,¡MUAJAJAJAJA!,یوها ها ها ها!,HAHAHAHA!,MWHAHAHA !,HUAHAHAHAHA!,Muah ah ah ah ah!,グワーッハッハッハッ！,우하하하!,GWAHAHAH!,GWAHAHAH!,GWAHAHAH!,MUA HA HA HA!,МУА-ХА-ХА-ХА!,อ๊ากกก!,MUAHAHAH!,A HA HA HA!
TID_TUTORIAL_MEDAL_EVENT_INTRO7,"Oh geez, Chief! It was an accident I promise! But maybe we can fix this.",يا إلهي يا زعيم! كان ذلك حادثًا بالتأكيد، لكن ربما يمكننا إصلاح ما حدث.,天啊，首领！我保证那是个意外！但也许我们可以解决这个问题。,天啊，首領！我保證那是個意外！但也許我們可以解決這個問題。,"Oh je, Häuptling! Das wollte ich nicht! Aber vielleicht können wir es irgendwie in Ordnung bringen.","¡Uy, perdona! ¡Te juro que ha sido un accidente! Pero quizás podamos arreglarlo.",ای وای رئیس! این یک اتفاق بود قول می‌دهم! اما شاید بتوانیم آن را درست کنیم.,"Voi ei, päällikkö! Se oli ihan oikeasti vahinko, mutta eiköhän homma saada kuntoon.","C'est quoi, ça ?! Chef, c'était un accident, je le jure ! Je suis sûr qu'on peut arranger ça !","Aduh. Maaf, Chief! Tadi hanya keceplosan, sungguh. Kita pasti bisa memperbaiki semua ini.","Oh cielo! Non l'ho fatto apposta, lo giuro! Ma forse c'è un modo di sistemare le cose.",チーフ... これはちょっとした事故だよ。でもなんとかできるはずだから、安心して。,"이런, 대장님! 방금 그건 그냥 사고였어요. 정말로요! 하지만 해결할 수 있을 거예요.","Oh, Ketua! Ini satu kemalangan! Mungkin kita boleh betulkannya.","O nee, Chief! Ik beloof dat het een ongeluk was, maar misschien kunnen we het oplossen.","Jøye meg, høvding! Jeg lover at det var et uhell! Men det er mulig vi kan fikse dette.","Nossa, chefe! Juro que foi um acidente! Talvez eu consiga dar um jeito nisso.","Ох, вождь... Клянусь, это вышло случайно. Может, еще получится все исправить.",อุ๊ย ขอโทษนะ ท่านหัวหน้า! ข้าสาบานได้ว่ามันเป็นอุบัติเหตุจริงๆ! บางทีเราอาจจะแก้ไขได้,"Şefim, yemin ederim kazara oldu! Belki bunu düzeltebiliriz.","Ôi trời, Chỉ huy ơi! Đó chỉ là tai nạn thôi, tôi thề! Chắc là chúng ta sẽ sửa chữa được thôi."
