TID,EN,FR,DE,ES,IT,NL,NO,PT,TR,JP,CN,KR,RU,AR,CNT,FA,ID,MS,VI,TH,FI
TID_EVENT_TITLE_LOCOMOTION,Potion Locomotion,Notions de potions,Trank sei Dank!,Recursos y construcción,Pozioni e costruzioni,Drankje-bedankje,Ressurssterk drikk,Loco-poção,İksir Promosyonu,ポーションの効果,药到功成,포션 먹고 뚝딱,Зелье на новоселье,لوازم البناء,藥到功成,معجون سازندگی,Gejolak Ramuan,Gerak Alih Posyen,Tài nguyên Bội thu,น้ำยาสารพัด,Resurssi ja remontti
TID_EVENT_TITLE_QUICKELIXIR,Quicker Elixir,Vif élixir,Elixierturbo,Elixir dinámico,Elisir rapido,Snelelixir,Raskere eliksir,Elixir para fluir,Hızlı İksir,エリクサー支援,圣水满溢,엘릭서 천국,Добавка эликсира,تسريع الإكسير,聖水滿溢,اکسیر سرعتی,Eliksir Cepat,Eliksir Pantas,Thêm Tiên dược,น้ำอมฤตเร่งด่วน,Eliksiiritys
TID_EVENT_TITLE_FINISHINGTOUCH,Finishing Touch,Méticuleux,Feinschliff,Toque final,Tocco finale,Laatste hand,En siste finpuss,Toque final,Son Rötuşlar,最後の仕上げ,添砖加瓦,화룡점정,Финальный штрих,اللمسة النهائية,畫龍點睛,میخ آخر,Sentuhan Terakhir,Sentuhan Pembina,Xây dựng Cấp tốc,บ้านสวยด้วยมือเรา,Viimeinen silaus
TID_EVENT_TITLE_TRAGICMAGIC,Tragic Magic,Magique tragique,Zauberzertifikat,Tragicomagia,Scuola di magia,Tragisch en magisch,Tragisk magisk,Mágica trágica,Büyü Köyü,悲劇の魔法,磨砺魔力,마법 천사,Магия-шмагия,السحر القديم,磨礪魔力,جادوی جالب,Sihir Magis Tragis,Mengasah Sihir Keajaiban,Thần chú Thần kỳ,ร่ายเวทย์,Traaginen maaginen
TID_EVENT_TITLE_TRIPLETHREAT,Triple Threat,Triple menace,Dreifachbedrohung,Triple amenaza,Tripla minaccia,Driedubbele dreiging,Tredobbel trussel,Ameaça tripla,Tehlikeli Üçlü,ポーション盛り合わせ,水到渠成,무적의 트리오,Тройная угроза,التهديد الثلاثي,水到渠成,خطر سه برابر,Ancaman Lipat Tiga,Ancaman Gandaan Tiga,Nguy hiểm gấp ba,รวมพลังคูณสาม,Roimasti rohtoa
TID_EVENT_TITLE_EOS_BATTLEBOOST,Battle Boost,Boost de bataille,Kampfkönig,¡A dar guerra!,Marcia in più,Gevechtsboost,Stridsboost,Força na luta,Savaş Desteği,戦闘ブースト,战场强援,전투 부스트,Боевой клич,عتاد الحرب,戰力加持,تقویت تاریک,Pertempuran Ekstra,Galakan Pertempuran,Cường hóa Chiến đấu,พลังนักรบ,Taisteluteho
TID_EVENT_TITLE_EOS_BEHOLDTHEGOLD,Behold the Gold,"""L''or des runes""'",Pures Gold,Construcción y oro,"""Periodo d''oro""'",Aanschouw het goud,Ingen tull med gull,Ouro vindouro,Külçe Külçe Altın,ゴールドコントロール,堆金成山,보아라 골드다,Золотой резерв,كنز البنّاء,點石成金,طلای زیر خاکی,Tembok Emas,Emas Runtuh,Chiêm ngưỡng Vàng,เปิดหีบทองคำ,Kulta kultasein
TID_EVENT_TITLE_EOS_BRAWLBREW,Brawl Brew,Boisson pour la bagarre,Pures Gold,Sed de lucha,Elisir scacciapensieri,Knokbrouwsel,Bråkebrygg,Bom de briga,Savaş İçeceği,戦いの烽火,乱斗利器,싸움꾼 제조,Боевая подготовка,مشروب المقاتل,戰鬥絕技,معجون شبیخون,Racikan Laga,Laga Membara,Luyện chú Ẩu đả,มนตรานักสู้,Valmiina rähinään
TID_EVENT_TITLE_EOS_DARKKNOWLEDGE,Dark Knowledge,Savoir noir,Dunkles Wissen,Artes oscuras,Il lato oscuro degli eroi,Duistere kennis,Mørk kunnskap,Saber sombrio,Karanlık Bilgiler,闇の知識,暗黑宝藏,어둠의 지식,На черный день,أسرار الظلام,闇黑寶藏,سلطه سیاهی,Ilmu Hitam,Ilmu Kejahatan,Tri thức Hắc ám,ศาสตร์มืด,Pimeä puoli
TID_EVENT_TITLE_EOS_DISCOVERYRECOVERY,Discovery Recovery,Recherche et découverte,Forsche Forschung,Investigación y desarrollo,Ricerca e sviluppo,Ontdekking en herstel,Oppdagelse og gjenvinning,Pesquisa e descoberta,Araştırma Geliştirme,研究成果,独具慧眼,연구 재개,Двигатель науки,حب المعرفة,研究專精,اکتشاف و استخراج,Penelitian dan Pengembangan,Selidik Eliksir,Phát hiện Hồi phục,คู่มือนักวิจัย,Vahvat ja valppaat
TID_EVENT_TITLE_EOS_EMPOWERHOUR,Empower Hour,Puissante heure,Starke Stücke,Mejunje empoderante,Forza sovrumana,Krachtig moment,Styrketimen,Hora hercúlea,Güçlenme Zamanı,強化チャンス,强盛时刻,힘나는 시간,Трудное время,ساعة الحسم,強盛時刻,نمایش قدرت,Gagah Perkasa,Gagah Perkasa,Giờ Tăng lực,พลังนักสู้,Voimavartti
TID_EVENT_TITLE_GOLDDIG,Gold Dig,"""Filon d''or""'",Holdes Gold,Construcción áurea,"""Palazzi d''oro""'",Goudwinning,Gullgraving,Garimpando ouro,Altının Peşinde,稼ぎ時,掘金宝地,땅파면 골드,Золотодобыча,الجرعة الذهبية,淘金之路,بیل طلایی,Gali Emas,Penggalian Emas,Đào Vàng,นักขุดทอง,Kullankaivaja
TID_EVENT_TITLE_EOS_INTENSEFENCE,Intense Fence,Intense barrière,Mauerpower,Defensa intensa,Difesa serrata,Heftig hek,Intenst gjerde,Defesa intensa,Yıkılmaz Duvar,鉄の壁,壁垒森严,튼튼한 장벽,Мощный периметр,السور العظيم,建築壁壘,ساختار حصار,Pagar Tegar,Pertahanan Kuat,Rào cản Mãnh liệt,เสริมรั้วรับศึก,Aidat kuntoon
TID_EVENT_TITLE_EOS_OCEANOFPOTION,Ocean of Potion,Océan de potions,Tranktank,Magia potagia,Pozioni senza fondo,Zee van drankjes,Et hav av drikke,Profusão de poção,İksir Deryası,ポーションの海,药水海洋,포션의 바다,Волшебная волна,مهرجان الجرعات,藥水海洋,معدن معجون,Lautan Ramuan,Lautan Sihir,Đại dương Tiên dược,ห้วงสมุทรน้ำยา,Rohtoralli
TID_EVENT_TITLE_EOS_LIBRARYLEGEND,Library Legend,Bibliothéque légendaire,Bücherwurm,Entrenamiento literario,Il dotto del villaggio,Bibliotheeklegende,Leselig legende,Leitor ávido,Efsane Kütüphane,本の宝庫,博览群书,도서실 전설,Библиотека,المكتبة الأسطورية,博覽群書,رساله افسانه‌ای,Legenda Pustaka,Perwira Legenda,Thư viện Huyền thoại,เปิดห้องสมุด,Tie tähtiin
TID_EVENT_TITLE_EOS_POTIONEXPLOSION,Potion Explosion,Explosion de potions,Trankpracht,Explosión de poción,Esplosioni di pozioni,Drankjesuitbarsting,Eksplosiv drikk,Explosão de poção,İksir Bolluğu,ゴールドの使い道,药水汹涌,포션 폭발,Через край,سيل الجرعات,藥水洶湧,انفجار معجون,Luapan Ramuan,Letupan Posyen,Bùng nổ Thuốc,ระเบิดน้ำยา,Rohtoräjähdys
TID_EVENT_TITLE_EOS_SPELLINGCHAMP,Spelling Champ,"""L''entraînement pour les nuls""'",Zauberpower,Maestría en hechicería,Mago degli incantesimi,Spreukenkampioen,Formel 1,Mestre dos feitiços,Büyü Şampiyonu,呪文王者,法术大师,마법 캠프,Мастер заклинаний,الساحر الماهر,法術大師,تدریس طلسم,Raja Mantra,Mahir Bersihir,Thần chú Vô địch,ยอดนักร่ายเวทย์,Loitsumestari
TID_EVENT_TITLE_EOS_URBANPLANNING,Urban Planning,Urbanisme,Baugefühl,Planificación urbanística,Lavori di ampliamento,Stadsplanning,Byplanlegging,Planejamento urbano,Şehir Planlaması,開発計画,村庄规划,도시 계획,Урбанистика,تخطيط البناء,村莊願景,برنامه‌ریزی شهری,Perencanaan Kota,Perancangan Bandar,Quy hoạch Đô thị,วางผังเมือง,Rakennustarkastaja
TID_EVENT_TITLE_BLACK_MAGIC,Black Magic,Magie noire,Schwarze Magie,Magia negra,Magia nera,Zwarte magie,Svart magi,Magia negra,Kara Büyü,闇魔術,暗黑魔法,흑마법,Черная магия,السحر الأسود,黑暗魔法,جادوی سیاه,Ilmu Hitam,Sihir Kejahatan,Phép thuật Hắc ám,เวทมนตร์ดำ,Mustaa magiaa
TID_EVENT_TITLE_FIGHTING_SOLO,Fighting Solo,Combat en solo,Solokampf,Lucha individual,Guerrafondaio,Vechtersbaas,Kjemper alene,Lutando só,Tek İstediğim Dövüş,斬り込み隊長,一战独秀,홀로서기,Один в поле воин,القتال الفردي,獨戰鰲頭,جنگ فردی,Bertanding Solo,Bertempur Sendirian,Đơn thương độc mã,ศึกลุยเดี่ยว,Yksintaistelu
TID_EVENT_TITLE_HERO_NIGHT,Hero Night,Nuit des héros,Nacht der Helden,Noche heroica,Notte degli eroi,Heldendicht,Heltenatt,Noite de herói,Kahramanlık Gecesi,ヒーローナイト,英雄之夜,영웅의 밤,Ночь героев,ليلة الأبطال,英豪盛宴,شب قهرمان,Malam Pahlawan,Malam Wira,Đêm tỏa sáng của Tướng,ค่ำคืนแห่งผู้กล้า,Sankareiden yö
TID_EVENT_TITLE_DYNAMIC_DUO,Dynamic Duo,Duo dynamique,Dynamisches Duo,Duo dinámico,Il dinamico duo,Dynamisch duo,Dynamisk duo,Dupla dinâmica,Muhteşem İkili,ダイナミック・デュオ,最佳拍档,짝꿍,Динамичный дуэт,الثنائي الفعال,建築立事,جفت کارآمد,Duet Maut,Pasangan Dinamik,Bộ đôi Hoàn hảo,คู่หูจอมพลัง,Dynaaminen duo
TID_EVENT_TITLE_FAST_FORWARD,Fast Forward,"""Vers l''avant""'","Vorwärts, Marsch",Aceleración,Costruttore provetto,Vooruitspoelen,Spol fremover,Avanço rápido,İleri Sar,スピード重視,速建速决,빨리 감기,"Время, вперед!",التقدم السريع,速建速決,با سرعت به پیش,Percepatan Waktu,Serangan Pantas,Tăng tốc,เร่งด่วนทันใจ,Etumatka
TID_EVENT_TITLE_SHINY_SHOVEL,Shiny Shovel,Pelle qui brille,Schillernde Schaufel,Pala reluciente,"""Palate d''oro""'",Schitterende schuiver,Skinnende spade,Pá brilhante,Parlak Kürek,ゴールドシャベル,掘金三尺,빛나는 삽,Блестящая лопата,المجرفة البراقة,掘金三尺,بیل زرین,Sekop Bersinar,Penyodok Berkilau,Xẻng lấp lánh,พลั่วขุดวิบวับ,Tartu lapioon!
TID_EVENT_TITLE_TRUTH_GOLD,Truth be Gold,"""Vérité d''or""'",Goldene Wahrheit,Oro reluciente,"""Mare d''oro""'",Goudeerlijk,Sannhet har gull i munn,Ouro vale mais,Harbi Altın,一攫千金,一诺千金,금빛 고백,Золотая жила,الذهب الثمين,點石成金,طلای تاریخی,Kejujuran Emas,Kebenaran Keemasan,Vàng ngập tràn,ทองแท้ไม่แพ้ไฟ,Kultakuume
TID_EVENT_TITLE_DARK_STAR,Dark Star,Étoile sombre,Dunkler Stern,Estrella oscura,Eroi oscuri,Duistere ster,Mørk stjerne,Estrela sombria,Kara Yıldız,ダークスター,英雄辈出,어두운 별,Черная звезда,نجم الظلام,英雄本色,ستاره سیاه,Bintang Gelap,Bintang Gelap,Ngôi sao Hắc ám,ดาวมฤตยู,Musta tähti
TID_EVENT_TITLE_GOLDEN_SPEED,Golden Speed,"""Vitesse d''or""'",Goldenes Tempo,Velocidad dorada,Oro fulmineo,Gouden vaart,Gyllen hastighet,Velocidade de ouro,Altın Hız,ゴールドスピード,黄金速度,금빛 질주,С размахом,سرعة من ذهب,黃金時代,سرعت طلایی,Kecepatan Emas,Kelajuan Emas,Vận tốc Vàng,ทองพลุ่งพล่าน,Kullalla kuntoon
TID_EVENT_TITLE_RELOCATION_EXPERT,Relocation Expert,Déménageurs gobelins,Umsiedlungsprofi,Maestros del diseño,Esperti in traslochi,Meesterschuiver,Flytteekspert,Sabichão da redistribuição,Yer Değiştirme Uzmanı,引っ越し屋さん,移位达人,재배치 전문가,Знаток местности,خبير التنقل,移位達人,متخصص جابه‌جایی,Ahli Relokasi,Pakar Pemindahan,Chuyên gia dọn dẹp,นักขนย้ายมือฉมัง,Paikka vaihtoon!
TID_EVENT_TITLE_SPELLBOUND,Spellbound,Enchanté,Zauberfibel,Hechizante,Abracadabra,Betoverd,Formel 1,Enfeitiçado,Abrakadabra,魅惑の魔術,法术之力,마법의 정석,Чары-мары,السحر العارم,法術之力,طلسم‌شده,Mantra Mujarab,Ilmu Ghaib,Sức mạnh Thần chú,ต้องมนต์อาคม,Loitsunluku
TID_EVENT_TITLE_CONSTRUCTIONJUICE,Construction Juice,En construction,Baubrause,Revitalizante,Tonico,Bouwkracht,Byggejuice,Na construção,İnşaat Şerbeti,建設日和,建筑能量,건축가의 주스,Пей да строй,عصير البناء,建設泉源,نوشابه سازندگی,Jus Pembangunan,Pati Pembinaan,Thuốc xây dựng,น้ำยางานก่อสร้าง,Rakennuslimu
TID_EVENT_TITLE_GARDENHERO,Garden Warrior,Jardin héroïque,Gartenkrieger,Jardín heroico,Feng shui,Tuinheld,Hagekriger,Jardim heroico,Bahçe Savaşçısı,庭師の英雄,园艺英雄,정원사 전사,Воин-садовник,محارب البستان,園藝英雄,جنگجوی باغچه,Prajurit Taman,Pahlawan Kebun,Chiến binh làm vườn,นักรบรักษ์โลก,Puutarhasoturi
TID_EVENT_TITLE_SHINYSHOVEL,Shiny Shovel,Pelle qui brille,Schillernde Schaufel,Pala reluciente,"""Palate d''oro""'",Schitterende schuiver,Skinnende spade,Pá brilhante,Parlak Kürek,ゴールドシャベル,掘金三尺,빛나는 삽,Блестящая лопата,المجرفة البراقة,掘金三尺,بیل زرین,Sekop Bersinar,Penyodok Berkilau,Xẻng lấp lánh,พลั่วขุดวิบวับ,Tartu lapioon!
TID_EVENT_TITLE_INSTANTDEVELOPMENT,Instant Development,Développement instantané,Sofortausbau,Desarrollo instantáneo,Sviluppo rapido,Onmiddellijke ontwikkeling,Øyeblikkelig utvikling,Melhoria instantânea,Anında Gelişim,即時開発,极速建造,순간 토지 개발,Быстрый прогресс,التطوير الفوري,快速發展,پیشرفت فوری,Pembangunan Instan,Perkembangan Segera,Phát triển Tức thì,สร้างด่วนทันใจ,Pikapäivitys
TID_EVENT_TITLE_BIGDIG,Big Dig,Ça creuse,Großes Graben,Excavación,Lavori in corso,Schoon schuiven,Grav dypt,Escavação,Büyük Kazı,穴掘りの達人,一铲到位,큰 삽질,Большие раскопки,الحفرة الكبيرة,一鏟到位,حفاری بزرگ,Gali Terus,Cari Gali,Mở rộng Khai hoang,ขุดครั้งใหญ่,Isommalla lapiolla
TID_EVENT_TITLE_FINISHINGTOUCH,Finishing Touch,Méticuleux,Feinschliff,Toque final,Tocco finale,Laatste hand,En siste finpuss,Toque final,Son Rötuşlar,最後の仕上げ,添砖加瓦,화룡점정,Финальный штрих,اللمسة النهائية,畫龍點睛,میخ آخر,Sentuhan Terakhir,Sentuhan Pembina,Xây dựng Cấp tốc,บ้านสวยด้วยมือเรา,Viimeinen silaus
TID_EVENT_TITLE_BATTLEMAX,Battle Max,Combat au max,Heldendeal,Indestructibles,Gli imbattibili,Volop vechten,Maks kamp,Batalha maximizada,Saldırı Paketi,全力バトル,全副武装,전투태세,Бой до конца,أتم استعداد,全副武裝,نبرد سرشار,Habis-Habisan,Kebal Pakan,Sẵn sàng ra trận,สู้ขาดใจ,Energiaruiske
TID_EVENT_TITLE_ATTACKPACK,Attack Pack,"""Pack d''attaque""'",Angriffspaket,Lote de ataque,"""Pacchetto d''assalto""'",Aanvalspakket,Angrepspakke,Pacote de ataque,Saldırı Grubu,攻撃パック,进攻助力礼包,공격 팩,Набор для атаки,مجموعة الهجوم,全力進攻特惠包,بسته حمله,Paket Serangan,Pek Serangan,Gói Tấn công,แพ็คโจมตี,Hyökkäyspaketti
TID_EVENT_TITLE_BLINGTWINS,Bling Twins,Double richesse,Klunkerdoppel,Doble caudal,Doppie rune,Blingtweeling,Blingtvillinger,Ouro dobrado,Şık Çift,キラキラツイン,好石成双,귀염둥이 쌍둥이,Богатая парочка,الثنائي الثمين,好石成雙,جفت ممتاز,Si Kembar Berkilau,Kembar Berkilau,Cặp đá cổ ngữ,คู่หูวิบวับ,Tuplataika
TID_EVENT_TITLE_CONSTRUCTION101,Construction 101,Construction pour les nuls,Bauwesen-Einmaleins,Construye ya,Corso di edilizia,Nieuwbouw,Konstruksjon for nybegynnere,Manual de construção,İnşaat 101,建設入門セット,立本之道,건축학 개론,Конструктор для начинающих,أسس التشييد,建設準則,ساخت‌و‌ساز مقدماتی,Pembangunan 101,Pembinaan 101,Bách khoa xây dựng,ก่อสร้างพื้นฐาน 101,Rakennusniksejä
TID_EVENT_TITLE_HEROMIXER,Hero Mixer,Fête des héros,Heldengala,Fiesta de héroes,Gran gala degli eroi,Heldengala,Heltemikser,Mistura de herói,Kahraman Seti,ヒーローミキサー,英雄助力,영웅 믹서,Героический замес,لقاء الأبطال,蓋世英雄,قهرمان بجوش,Pesta Pahlawan,Pesta Wira,Buổi tiệc Tướng,ผู้กล้าทรงพลัง,Sankareita kaikki
TID_EVENT_TITLE_TOUCH_OFGOLD,Touch of Gold,"""Éclat d''or""'",Ein Hauch von Gold,Toque de oro,"""Vena d''oro""'",Alles is goud,Et snev av gull,Toque de ouro,Altın Dokunuş,金の感触,金币盛宴,골드 터치,Позолотить ручку,اللمسة الذهبية,金藥充沛,ردّی از طلا,Sentuhan Emas,Sentuhan Emas,Bàn tay Vàng,ทองคำประดับประดา,Hippunen kultaa
TID_EVENT_TITLE_GOLD_TERRITORY,Gold Territory,Terres dorées,Goldener Boden,Área áurea,Lande dorate,Gouden territorium,Gullterritorium,Território de ouro,Altın Bölgesi,ゴールドテリトリー,固若金汤,골드 존,Золотой запас,أرض الذهب,固若金湯,قلمرو طلایی,Wilayah Emas,Kawasan Emas,Lãnh thổ Vàng ròng,ดินแดนแห่งทองคำ,Kultasuoni
TID_EVENT_TITLE_FIGHTING_CHANCE,Fighting Chance,Préparation de combat,Rosige Aussichten,A troche y moche,Nuvole di guerra,Gevechtsklaar,Kjempesjanse,Chance de sucesso,Kazanma Şansı,戦いの好機,书山有路,승리의 기회,Шанс на успех,فرصة للقتال,書寫勝利,فرصت مبارزه,Peluang Bertarung,Peluang Berlawan,Cơ hội Chiến đấu,ตำราพิชัยสงคราม,Taistelutahto
TID_EVENT_TITLE_IMMENSE_DEFENSE,Immense Defense,Immense défense,Starke Verteidigung,Defensa inmensa,Difese lampo,Vette verdediging,Kolossalt forsvar,Uma tremenda defesa!,Muazzam Savunma,万全の守り,无懈可击,엄청난 방어,Несокрушимая защита,الدفاع المنيع,無懈可擊,دفاعی قوی,Pertahanan Kokoh,Pertahanan Kuat,Khả năng phòng thủ khủng,ตั้งรับอย่างอุ่นหนาฝาคั่ง,Mieletön puolustus
TID_EVENT_TITLE_NYSPECIAL,New Year Special,Spécial Nouvel An,Neujahrs-Special,Especial de Año Nuevo,Speciale anno nuovo,Nieuwjaarsspecial,Nyttårsspesial,Especial de ano novo,Yeni Yıla Özel,新年スペシャル,新年特惠,새해 스페셜,К Новому году,عرض العام الجديد الخاص,新年特惠,ویژه سال نو,Spesial Tahun Baru,Tahun Baharu!,Ưu đãi Năm Mới,ปีใหม่สุดพิเศษ,Uudenvuoden erikoinen
TID_EVENT_TITLE_BUILDINGWISDOM,Building Wisdom,Ouvrier sage,Sehr erbaulich,Manos a la obra,Edilizia saggia,Bouwwijsheid,Byggekløkt,Construção do saber,Bina Temeli,建設的な知識,建筑奥秘,건설 비법,Мудрый зодчий,حكمة البناء,建築奧秘,شعور سازندگی,Bijak Membangun,Akal Budi,Thợ xây thông thái,ปรัชญาอาคาร,Fiksu rakentaja
TID_EVENT_TITLE_ANYTHING_GOES,Anything Goes,À tout va,Alles ist möglich!,Todo y más,Onniscienza ed edilizia,Alles in overvloed,Alt skal bort,Vale tudo,Her Şey Serbest,やりたい放題！,假期强援,건설하기 좋은 계절,Все подряд,كل الخيارات متاحة,萬全準備,همه چی قبوله,Apa Saja Boleh,Apa-apa Pun Jadi,Gì cũng được,ได้ทุกอย่าง,Kaikki käy
TID_EVENT_TITLE_ADVCHANCE,Advance Chance,Coup de pouce,Bessere Verbesserungen,Oportunidad de mejora,La forza del progresso,Upgradeplezier,Fremgangssjanse,Chance de avanço,Gelişme Şansı,躍進の好機,升级有方,한발 앞으로,Шанс на прорыв,فرصة التقدم,升級有方,فرصت پیشرفت,Peluang Peningkatan,Peluang untuk Maju,Cơ hội Thăng tiến,โอกาสก้าวหน้า,Kehitysmahdollisuus
TID_EVENT_TITLE_BOOST,Boost Juice,Cocktail boosté,Schubstrom,Brebaje potenciador,Intruglio potenziato,Boostkracht,Boostjuice,Poção potencializadora,Güçlendirme Suyu,ブースト日和,能量特饮,부스트 주스,Укрепляющий коктейль,شراب التعزيز,能量飲料,عصاره تقویت,Jus Pelaju,Jus Galakan,Nước ép Cường hóa,น้ำยาเพิ่มพลัง,Tehostuspirtelö
TID_EVENT_TITLE_EMG,Everything Must Go,Liquidation totale,Alles muss raus!,Liquidación total,Fuori tutto,Op = op,Alt skal vekk,Liquidação total,Patron Çıldırdı,売りつくし,琳琅满目,완벽한 준비,Все с молотка,تصفيات,包羅萬象,آتیش زدم به مالم,Cuci Gudang,Jualan Sampai Habis,Mọi thứ phải ra đi,งานนี้แจกไม่อั้น,Varaston tyhjennys
TID_EVENT_TITLE_HJP,Hammer Jam Pack,Pack Convention des marteaux,Hammerparty-Paket,Lote de Martillomanía,Pacc. Qui si batte chiodo!,Hammer Jam-pakket,Hammer Jam-pakke,Pacote da Martelofolia,Çekiç Vakti Paketi,建設ラッシュパック,夯木节礼包,해머잼 팩,Набор Hammer Jam,مجموعة Hammer Jam,歡樂升級嘉年華特惠包,بسته «چکش‌کاری فشرده»,Paket Hammer Jam,Pek Hammer Jam,Gói Hammer Jam,แพ็ค Hammer Jam,Hammer Jam -paketti
TID_EVENT_TITLE_SPRING_SPECIAL,Spring Special,Offre du printemps,Frühlingsangebot,Lote especial,Offerta di primavera,Voorjaarsspecial,Vårspesial,Oferta especial,Bahara Özel,春の特別セール,春季特惠,봄맞이 특가,Весенняя акция,عرض الربيع الخاص,春季特惠,ویژه بهار,Spesial Musim Semi,Istimewa Musim Bunga,Ưu đãi Mùa xuân,พิเศษฤดูร้อน,Kevättarjous
TID_EVENT_TITLE_BOOK_SMART,Book Smart,Livre-aison,Bücherweisheit,Biblioteca con sorpresa,Fiera del libro,Boekenwurm,Bokorm,Feira do livro,Kitap Kurdu,本の虫,书写胜利,스마트 북,Книжный червь,معارف الكتب,書卷致勝,نخبه,Kitab Pintar,Cerdik Pandai,Thư sinh Thông thái,หนอนหนังสือ,Kirjaviisas
TID_EVENT_TITLE_TRIPLEAID,Triple Aid,Secours triple,Dreifachhilfe,Receta mágica,Triplo aiuto,Drie drankjes,Trippelhjelp,Auxílio triplo,Üçlü Destek,3本の柱,三重助力,트리플에이드,Тройная помощь,مساعدة ثلاثية,加緊趕工,کمک سه گانه,Tiga Bantuan,Tiga Bantuan,Hiệu quả gấp ba,สร้างด่วนคูณสาม,Tripla-apu
TID_EVENT_TITLE_RUNE_AWAKENING,Rune Awakening,Réveil des runes,Runenerwachen,El poder de las runas,Incetta di rune,Rune-ontwaking,Intens innspurt,Runas miraculosas,Rün Dirilişi,ルーンの覚醒,符石闪耀,깨어나라 룬이여!,Рунное возрождение,مفاجأة التمائم,符石大師,خزان ناخوانده,Kebangkitan Rune,Kejutan Rune,Đá cổ ngữ Thức tỉnh,รูนปลุกพลัง,Reilut riimukivet
