TID,EN,AR,CN,CNT,DE,ES,FA,FI,FR,ID,IT,JP,KR,MS,NL,NO,PT,RU,TH,TR,VI,PL
TID_EVENT_TITLE_EOS_BRAWLBREW,Brawl Brew,مشروب المقاتل,乱斗利器,戰鬥絕技,Pures Gold,Sed de lucha,معجون شبیخون,Valmiina rähinään,Boisson pour la bagarre,Racikan Laga,Elisir scacciapensieri,戦いの烽火,싸움꾼 제조,Laga Membara,Knokbrouwsel,Bråkebrygg,Bom de briga,Боевая подготовка,มนตรานักสู้,Savaş İçeceği,Luyện chú Ẩu đả,Esencja zadymy
TID_EVENT_TITLE_EOS_DARKKNOWLEDGE,Dark Knowledge,أسرار الظلام,暗黑宝藏,闇黑寶藏,Dunkles Wissen,Artes oscuras,سلطه سیاهی,Pimeä puoli,Savoir noir,Ilmu Hitam,Il lato oscuro degli eroi,闇の知識,어둠의 지식,Ilmu Kejahatan,Duistere kennis,Mørk kunnskap,Saber sombrio,На черный день,ศาสตร์มืด,Karanlık Bilgiler,Tri thức Hắc ám,Mroczna wiedza
TID_EVENT_TITLE_EOS_DISCOVERYRECOVERY,Discovery Recovery,حب المعرفة,独具慧眼,研究專精,Forsche Forschung,Investigación y desarrollo,اکتشاف و استخراج,Vahvat ja valppaat,Recherche et découverte,Penelitian dan Pengembangan,Ricerca e sviluppo,研究成果,연구 재개,Selidik Eliksir,Ontdekking en herstel,Oppdagelse og gjenvinning,Pesquisa e descoberta,Двигатель науки,คู่มือนักวิจัย,Araştırma Geliştirme,Phát hiện Hồi phục,Odkrywanie i odpoczywanie
TID_EVENT_TITLE_EOS_EMPOWERHOUR,Empower Hour,ساعة الحسم,强盛时刻,強盛時刻,Starke Stücke,Mejunje empoderante,نمایش قدرت,Voimavartti,Puissante heure,Gagah Perkasa,Forza sovrumana,強化チャンス,힘나는 시간,Gagah Perkasa,Krachtig moment,Styrketimen,Hora hercúlea,Трудное время,พลังนักสู้,Güçlenme Zamanı,Giờ Tăng lực,Czas wsparcia
TID_EVENT_TITLE_GOLDDIG,Gold Dig,الجرعة الذهبية,掘金宝地,淘金之路,Holdes Gold,Construcción áurea,بیل طلایی,Kullankaivaja,Filon d'or,Gali Emas,Palazzi d'oro,稼ぎ時,땅파면 골드,Penggalian Emas,Goudwinning,Gullgraving,Garimpando ouro,Золотодобыча,นักขุดทอง,Altının Peşinde,Đào Vàng,Złote wykopki
TID_EVENT_TITLE_EOS_INTENSEFENCE,Intense Fence,السور العظيم,壁垒森严,建築壁壘,Mauerpower,Defensa intensa,ساختار حصار,Aidat kuntoon,Intense barrière,Pagar Tegar,Difesa serrata,鉄の壁,튼튼한 장벽,Pertahanan Kuat,Heftig hek,Intenst gjerde,Defesa intensa,Мощный периметр,เสริมรั้วรับศึก,Yıkılmaz Duvar,Rào cản Mãnh liệt,Mury nie do zburzenia
TID_EVENT_TITLE_EOS_OCEANOFPOTION,Ocean of Potion,مهرجان الجرعات,药水海洋,藥水海洋,Tranktank,Magia potagia,معدن معجون,Rohtoralli,Océan de potions,Lautan Ramuan,Pozioni senza fondo,ポーションの海,포션의 바다,Lautan Sihir,Zee van drankjes,Et hav av drikke,Profusão de poção,Волшебная волна,ห้วงสมุทรน้ำยา,İksir Deryası,Đại dương Tiên dược,Morze eliksiru
TID_EVENT_TITLE_EOS_LIBRARYLEGEND,Library Legend,المكتبة الأسطورية,博览群书,博覽群書,Bücherwurm,Entrenamiento literario,رساله افسانه‌ای,Tie tähtiin,Bibliothéque légendaire,Legenda Pustaka,Il dotto del villaggio,本の宝庫,도서실 전설,Perwira Legenda,Bibliotheeklegende,Leselig legende,Leitor ávido,Библиотека,เปิดห้องสมุด,Efsane Kütüphane,Thư viện Huyền thoại,Biblioteczna legenda
TID_EVENT_TITLE_EOS_POTIONEXPLOSION,Potion Explosion,سيل الجرعات,药水汹涌,藥水洶湧,Trankpracht,Explosión de poción,انفجار معجون,Rohtoräjähdys,Explosion de potions,Luapan Ramuan,Esplosioni di pozioni,ゴールドの使い道,포션 폭발,Letupan Posyen,Drankjesuitbarsting,Eksplosiv drikk,Explosão de poção,Через край,ระเบิดน้ำยา,İksir Bolluğu,Bùng nổ Thuốc,Wybuchowe mikstury
TID_EVENT_TITLE_EOS_SPELLINGCHAMP,Spelling Champ,الساحر الماهر,法术大师,法術大師,Zauberpower,Maestría en hechicería,تدریس طلسم,Loitsumestari,L'entraînement pour les nuls,Raja Mantra,Mago degli incantesimi,呪文王者,마법 캠프,Mahir Bersihir,Spreukenkampioen,Formel 1,Mestre dos feitiços,Мастер заклинаний,ยอดนักร่ายเวทย์,Büyü Şampiyonu,Thần chú Vô địch,Mistrz zaklęć
TID_EVENT_TITLE_EOS_URBANPLANNING,Urban Planning,تخطيط البناء,村庄规划,村莊願景,Baugefühl,Planificación urbanística,برنامه‌ریزی شهری,Rakennustarkastaja,Urbanisme,Perencanaan Kota,Lavori di ampliamento,開発計画,도시 계획,Perancangan Bandar,Stadsplanning,Byplanlegging,Planejamento urbano,Урбанистика,วางผังเมือง,Şehir Planlaması,Quy hoạch Đô thị,Planowanie przestrzeni
TID_EVENT_TITLE_FIGHTING_SOLO,Fighting Solo,القتال الفردي,一战独秀,獨戰鰲頭,Solokampf,Lucha individual,جنگ فردی,Yksintaistelu,Combat en solo,Bertanding Solo,Guerrafondaio,斬り込み隊長,홀로서기,Bertempur Sendirian,Vechtersbaas,Kjemper alene,Lutando só,Один в поле воин,ศึกลุยเดี่ยว,Tek İstediğim Dövüş,Đơn thương độc mã,Walka w pojedynkę
TID_EVENT_TITLE_HERO_NIGHT,Hero Night,ليلة الأبطال,英雄之夜,英豪盛宴,Nacht der Helden,Noche heroica,شب قهرمان,Sankareiden yö,Nuit des héros,Malam Pahlawan,Notte degli eroi,ヒーローナイト,영웅의 밤,Malam Wira,Heldendicht,Heltenatt,Noite de herói,Ночь героев,ค่ำคืนแห่งผู้กล้า,Kahramanlık Gecesi,Đêm tỏa sáng của Tướng,Noc herosów
TID_EVENT_TITLE_DYNAMIC_DUO,Dynamic Duo,الثنائي الفعال,最佳拍档,建築立事,Dynamisches Duo,Duo dinámico,جفت کارآمد,Dynaaminen duo,Duo dynamique,Duet Maut,Il dinamico duo,ダイナミック・デュオ,짝꿍,Pasangan Dinamik,Dynamisch duo,Dynamisk duo,Dupla dinâmica,Динамичный дуэт,คู่หูจอมพลัง,Muhteşem İkili,Bộ đôi Hoàn hảo,Dobrana para
TID_EVENT_TITLE_FAST_FORWARD,Fast Forward,التقدم السريع,速建速决,速建速決,"Vorwärts, Marsch",Aceleración,با سرعت به پیش,Etumatka,Vers l'avant,Percepatan Waktu,Costruttore provetto,スピード重視,빨리 감기,Serangan Pantas,Vooruitspoelen,Spol fremover,Avanço rápido,"Время, вперед!",เร่งด่วนทันใจ,İleri Sar,Tăng tốc,Podróż w przyszłość
TID_EVENT_TITLE_SHINY_SHOVEL,Shiny Shovel,المجرفة البراقة,掘金三尺,掘金三尺,Schillernde Schaufel,Pala reluciente,بیل زرین,Tartu lapioon!,Pelle qui brille,Sekop Bersinar,Palate d'oro,ゴールドシャベル,빛나는 삽,Penyodok Berkilau,Schitterende schuiver,Skinnende spade,Pá brilhante,Блестящая лопата,พลั่วขุดวิบวับ,Parlak Kürek,Xẻng lấp lánh,Błyszczący szpadel
TID_EVENT_TITLE_TRUTH_GOLD,Truth be Gold,الذهب الثمين,一诺千金,點石成金,Goldene Wahrheit,Oro reluciente,طلای تاریخی,Kultakuume,Vérité d'or,Kejujuran Emas,Mare d'oro,一攫千金,금빛 고백,Kebenaran Keemasan,Goudeerlijk,Sannhet har gull i munn,Ouro vale mais,Золотая жила,ทองแท้ไม่แพ้ไฟ,Harbi Altın,Vàng ngập tràn,Szczere złoto
TID_EVENT_TITLE_DARK_STAR,Dark Star,نجم الظلام,英雄辈出,英雄本色,Dunkler Stern,Estrella oscura,ستاره سیاه,Musta tähti,Étoile sombre,Bintang Gelap,Eroi oscuri,ダークスター,어두운 별,Bintang Gelap,Duistere ster,Mørk stjerne,Estrela sombria,Черная звезда,ดาวมฤตยู,Kara Yıldız,Ngôi sao Hắc ám,Ciemna gwiazda
TID_EVENT_TITLE_GOLDEN_SPEED,Golden Speed,سرعة من ذهب,黄金速度,黃金時代,Goldenes Tempo,Velocidad dorada,سرعت طلایی,Kullalla kuntoon,Vitesse d'or,Kecepatan Emas,Oro fulmineo,ゴールドスピード,금빛 질주,Kelajuan Emas,Gouden vaart,Gyllen hastighet,Velocidade de ouro,С размахом,ทองพลุ่งพล่าน,Altın Hız,Vận tốc Vàng,Złote tempo
TID_EVENT_TITLE_RELOCATION_EXPERT,Relocation Expert,خبير التنقل,移位达人,移位達人,Umsiedlungsprofi,Maestros del diseño,متخصص جابه‌جایی,Paikka vaihtoon!,Déménageurs gobelins,Ahli Relokasi,Esperti in traslochi,引っ越し屋さん,재배치 전문가,Pakar Pemindahan,Meesterschuiver,Flytteekspert,Sabichão da redistribuição,Знаток местности,นักขนย้ายมือฉมัง,Yer Değiştirme Uzmanı,Chuyên gia dọn dẹp,Mistrz przenoszenia
TID_EVENT_TITLE_SPELLBOUND,Spellbound,السحر العارم,法术之力,法術之力,Zauberfibel,Hechizante,طلسم‌شده,Loitsunluku,Enchanté,Mantra Mujarab,Abracadabra,魅惑の魔術,마법의 정석,Ilmu Ghaib,Betoverd,Formel 1,Enfeitiçado,Чары-мары,ต้องมนต์อาคม,Abrakadabra,Sức mạnh Thần chú,Oczarowanie
TID_EVENT_TITLE_CONSTRUCTIONJUICE,Construction Juice,عصير البناء,建筑能量,建設泉源,Baubrause,Revitalizante,نوشابه سازندگی,Rakennuslimu,En construction,Jus Pembangunan,Tonico,建設日和,건축가의 주스,Pati Pembinaan,Bouwkracht,Byggejuice,Na construção,Пей да строй,น้ำยางานก่อสร้าง,İnşaat Şerbeti,Thuốc xây dựng,Pragnienie budowy
TID_EVENT_TITLE_GARDENHERO,Garden Warrior,محارب البستان,园艺英雄,園藝英雄,Gartenkrieger,Jardín heroico,جنگجوی باغچه,Puutarhasoturi,Jardin héroïque,Prajurit Taman,Feng shui,庭師の英雄,정원사 전사,Pahlawan Kebun,Tuinheld,Hagekriger,Jardim heroico,Воин-садовник,นักรบรักษ์โลก,Bahçe Savaşçısı,Chiến binh làm vườn,Ogrodnik wojownik
TID_EVENT_TITLE_INSTANTDEVELOPMENT,Instant Development,التطوير الفوري,极速建造,快速發展,Sofortausbau,Desarrollo instantáneo,پیشرفت فوری,Pikapäivitys,Développement instantané,Pembangunan Instan,Sviluppo rapido,即時開発,순간 토지 개발,Perkembangan Segera,Onmiddellijke ontwikkeling,Øyeblikkelig utvikling,Melhoria instantânea,Быстрый прогресс,สร้างด่วนทันใจ,Anında Gelişim,Phát triển Tức thì,Natychmiastowa rozbudowa
TID_EVENT_TITLE_BIGDIG,Big Dig,الحفرة الكبيرة,一铲到位,一鏟到位,Großes Graben,Excavación,حفاری بزرگ,Isommalla lapiolla,Ça creuse,Gali Terus,Lavori in corso,穴掘りの達人,큰 삽질,Cari Gali,Schoon schuiven,Grav dypt,Escavação,Большие раскопки,ขุดครั้งใหญ่,Büyük Kazı,Mở rộng Khai hoang,Wielkie wykopki
TID_EVENT_TITLE_BATTLEMAX,Battle Max,أتم استعداد,全副武装,全副武裝,Heldendeal,Indestructibles,نبرد سرشار,Energiaruiske,Combat au max,Habis-Habisan,Gli imbattibili,全力バトル,전투태세,Kebal Pakan,Volop vechten,Maks kamp,Batalha maximizada,Бой до конца,สู้ขาดใจ,Saldırı Paketi,Sẵn sàng ra trận,Bitwa na maksa
TID_EVENT_TITLE_ATTACKPACK,Attack Pack,مجموعة الهجوم,进攻助力礼包,全力進攻特惠包,Angriffspaket,Lote de ataque,بسته حمله,Hyökkäyspaketti,Pack d'attaque,Paket Serangan,Pacchetto d'assalto,攻撃パック,공격 팩,Pek Serangan,Aanvalspakket,Angrepspakke,Pacote de ataque,Набор для атаки,แพ็คโจมตี,Saldırı Grubu,Gói Tấn công,Pakiet ataku
TID_EVENT_TITLE_BLINGTWINS,Bling Twins,الثنائي الثمين,好石成双,好石成雙,Klunkerdoppel,Doble caudal,جفت ممتاز,Tuplataika,Double richesse,Si Kembar Berkilau,Doppie rune,キラキラツイン,귀염둥이 쌍둥이,Kembar Berkilau,Blingtweeling,Blingtvillinger,Ouro dobrado,Богатая парочка,คู่หูวิบวับ,Şık Çift,Cặp đá cổ ngữ,Podwójny błysk
TID_EVENT_TITLE_CONSTRUCTION101,Construction 101,أسس التشييد,立本之道,建設準則,Bauwesen-Einmaleins,Construye ya,ساخت‌و‌ساز مقدماتی,Rakennusniksejä,Construction pour les nuls,Pembangunan 101,Corso di edilizia,建設入門セット,건축학 개론,Pembinaan 101,Nieuwbouw,Konstruksjon for nybegynnere,Manual de construção,Конструктор для начинающих,ก่อสร้างพื้นฐาน 101,İnşaat 101,Bách khoa xây dựng,Budowa od podstaw
TID_EVENT_TITLE_HEROMIXER,Hero Mixer,لقاء الأبطال,英雄助力,蓋世英雄,Heldengala,Fiesta de héroes,قهرمان بجوش,Sankareita kaikki,Fête des héros,Pesta Pahlawan,Gran gala degli eroi,ヒーローミキサー,영웅 믹서,Pesta Wira,Heldengala,Heltemikser,Mistura de herói,Героический замес,ผู้กล้าทรงพลัง,Kahraman Seti,Buổi tiệc Tướng,Zebranie herosów
TID_EVENT_TITLE_TOUCH_OFGOLD,Touch of Gold,اللمسة الذهبية,金币盛宴,金藥充沛,Ein Hauch von Gold,Toque de oro,ردّی از طلا,Hippunen kultaa,Éclat d'or,Sentuhan Emas,Vena d'oro,金の感触,골드 터치,Sentuhan Emas,Alles is goud,Et snev av gull,Toque de ouro,Позолотить ручку,ทองคำประดับประดา,Altın Dokunuş,Bàn tay Vàng,Złoty dotyk
TID_EVENT_TITLE_GOLD_TERRITORY,Gold Territory,أرض الذهب,固若金汤,固若金湯,Goldener Boden,Área áurea,قلمرو طلایی,Kultasuoni,Terres dorées,Wilayah Emas,Lande dorate,ゴールドテリトリー,골드 존,Kawasan Emas,Gouden territorium,Gullterritorium,Território de ouro,Золотой запас,ดินแดนแห่งทองคำ,Altın Bölgesi,Lãnh thổ Vàng ròng,Złote terytorium
TID_EVENT_TITLE_FIGHTING_CHANCE,Fighting Chance,فرصة للقتال,书山有路,書寫勝利,Rosige Aussichten,A troche y moche,فرصت مبارزه,Taistelutahto,Préparation de combat,Peluang Bertarung,Nuvole di guerra,戦いの好機,승리의 기회,Peluang Berlawan,Gevechtsklaar,Kjempesjanse,Chance de sucesso,Шанс на успех,ตำราพิชัยสงคราม,Kazanma Şansı,Cơ hội Chiến đấu,Szansa na zwycięstwo
TID_EVENT_TITLE_IMMENSE_DEFENSE,Immense Defense,الدفاع المنيع,无懈可击,無懈可擊,Starke Verteidigung,Defensa inmensa,دفاعی قوی,Mieletön puolustus,Immense défense,Pertahanan Kokoh,Difese lampo,万全の守り,엄청난 방어,Pertahanan Kuat,Vette verdediging,Kolossalt forsvar,Uma tremenda defesa!,Несокрушимая защита,ตั้งรับอย่างอุ่นหนาฝาคั่ง,Muazzam Savunma,Khả năng phòng thủ khủng,Niezłomna obrona
TID_EVENT_TITLE_NYSPECIAL,New Year Special,عرض العام الجديد الخاص,新年特惠,新年特惠,Neujahrs-Special,Especial de Año Nuevo,ویژه سال نو,Uudenvuoden erikoinen,Spécial Nouvel An,Spesial Tahun Baru,Speciale anno nuovo,新年スペシャル,새해 스페셜,Tahun Baharu!,Nieuwjaarsspecial,Nyttårsspesial,Especial de ano novo,К Новому году,ปีใหม่สุดพิเศษ,Yeni Yıla Özel,Ưu đãi Năm Mới,Oferta na Nowy Rok
TID_EVENT_TITLE_BUILDINGWISDOM,Building Wisdom,حكمة البناء,建筑奥秘,建築奧秘,Sehr erbaulich,Manos a la obra,شعور سازندگی,Fiksu rakentaja,Ouvrier sage,Bijak Membangun,Edilizia saggia,建設的な知識,건설 비법,Akal Budi,Bouwwijsheid,Byggekløkt,Construção do saber,Мудрый зодчий,ปรัชญาอาคาร,Bina Temeli,Thợ xây thông thái,Wiedza budownicza
TID_EVENT_TITLE_ANYTHING_GOES,Anything Goes,كل الخيارات متاحة,假期强援,萬全準備,Alles ist möglich!,Todo y más,همه چی قبوله,Kaikki käy,À tout va,Apa Saja Boleh,Onniscienza ed edilizia,やりたい放題！,건설하기 좋은 계절,Apa-apa Pun Jadi,Alles in overvloed,Alt skal bort,Vale tudo,Все подряд,ได้ทุกอย่าง,Her Şey Serbest,Gì cũng được,Wolna ręka
TID_EVENT_TITLE_ADVCHANCE,Advance Chance,فرصة التقدم,升级有方,升級有方,Bessere Verbesserungen,Oportunidad de mejora,فرصت پیشرفت,Kehitysmahdollisuus,Coup de pouce,Peluang Peningkatan,La forza del progresso,躍進の好機,한발 앞으로,Peluang untuk Maju,Upgradeplezier,Fremgangssjanse,Chance de avanço,Шанс на прорыв,โอกาสก้าวหน้า,Gelişme Şansı,Cơ hội Thăng tiến,Szansa na przewagę
TID_EVENT_TITLE_BOOST,Boost Juice,شراب التعزيز,能量特饮,能量飲料,Schubstrom,Brebaje potenciador,عصاره تقویت,Tehostuspirtelö,Cocktail boosté,Jus Pelaju,Intruglio potenziato,ブースト日和,부스트 주스,Jus Galakan,Boostkracht,Boostjuice,Poção potencializadora,Укрепляющий коктейль,น้ำยาเพิ่มพลัง,Güçlendirme Suyu,Nước ép Cường hóa,Sok wyskokowy
TID_EVENT_TITLE_EMG,Everything Must Go,تصفيات,琳琅满目,包羅萬象,Alles muss raus!,Liquidación total,آتیش زدم به مالم,Varaston tyhjennys,Liquidation totale,Cuci Gudang,Fuori tutto,売りつくし,완벽한 준비,Jualan Sampai Habis,Op = op,Alt skal vekk,Liquidação total,Все с молотка,งานนี้แจกไม่อั้น,Patron Çıldırdı,Thanh lý tất cả,Wszystko do wzięcia
TID_EVENT_TITLE_HJP,Hammer Jam Pack,مجموعة Hammer Jam,夯木节礼包,歡樂升級嘉年華特惠包,Hammerparty-Paket,Lote de Martillomanía,بسته «چکش‌کاری فشرده»,Hammer Jam -paketti,Pack Convention des marteaux,Paket Hammer Jam,Pacc. Qui si batte chiodo!,建設ラッシュパック,해머잼 팩,Pek Hammer Jam,Hammer Jam-pakket,Hammer Jam-pakke,Pacote da Martelofolia,Набор Hammer Jam,แพ็ค Hammer Jam,Çekiç Vakti Paketi,Gói Hammer Jam,Pakiet Hammer Jam
TID_EVENT_TITLE_SPRING_SPECIAL,Spring Special,عرض الربيع الخاص,春季特惠,春季特惠,Frühlingsangebot,Lote especial,ویژه بهار,Kevättarjous,Offre du printemps,Spesial Musim Semi,Offerta di primavera,春の特別セール,봄맞이 특가,Istimewa Musim Bunga,Voorjaarsspecial,Vårspesial,Oferta especial,Весенняя акция,พิเศษฤดูร้อน,Bahara Özel,Ưu đãi Mùa xuân,Promocja wiosenna
TID_EVENT_TITLE_BOOK_SMART,Book Smart,معارف الكتب,书写胜利,書卷致勝,Bücherweisheit,Biblioteca con sorpresa,نخبه,Kirjaviisas,Livre-aison,Kitab Pintar,Fiera del libro,本の虫,스마트 북,Cerdik Pandai,Boekenwurm,Bokorm,Feira do livro,Книжный червь,หนอนหนังสือ,Kitap Kurdu,Thư sinh Thông thái,Wiedza książkowa
TID_EVENT_TITLE_TRIPLEAID,Triple Aid,مساعدة ثلاثية,三重助力,加緊趕工,Dreifachhilfe,Receta mágica,کمک سه گانه,Tripla-apu,Secours triple,Tiga Bantuan,Triplo aiuto,3本の柱,트리플에이드,Tiga Bantuan,Drie drankjes,Trippelhjelp,Auxílio triplo,Тройная помощь,สร้างด่วนคูณสาม,Üçlü Destek,Hiệu quả gấp ba,Potrójna pomoc
TID_EVENT_TITLE_RUNE_AWAKENING,Rune Awakening,مفاجأة التمائم,符石闪耀,符石大師,Runenerwachen,El poder de las runas,خزان ناخوانده,Reilut riimukivet,Réveil des runes,Kebangkitan Rune,Incetta di rune,ルーンの覚醒,깨어나라 룬이여!,Kejutan Rune,Rune-ontwaking,Intens innspurt,Runas miraculosas,Рунное возрождение,รูนปลุกพลัง,Rün Dirilişi,Đá cổ ngữ Thức tỉnh,Przebudzenie run
